日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时33分36秒,N 40.47.618度,E 111.41.736度,1061m,0.3704km/s,10,338.0度
2017年10月05日,9小时33分37秒,N 40.47.618度,E 111.41.736度,1060m,0.5556km/s,10,338.0度
2017年10月05日,9小时33分38秒,N 40.47.619度,E 111.41.735度,1060m,0.5556km/s,10,338.0度
2017年10月05日,9小时33分39秒,N 40.47.620度,E 111.41.735度,1059m,0.1852km/s,10,338.0度
2017年10月05日,9小时33分40秒,N 40.47.620度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分41秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分42秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分43秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分44秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分45秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分46秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分47秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分48秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分49秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分50秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分51秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分52秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分53秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分54秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分55秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分56秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时33分57秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,10,338.0度
2017年10月05日,9小时33分58秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,10,338.0度
2017年10月05日,9小时33分59秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,10,338.0度
2017年10月05日,9小时34分0秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,10,338.0度
2017年10月05日,9小时34分1秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分2秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分3秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分4秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分5秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分6秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分7秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分8秒,N 40.47.621度,E 111.41.735度,1058m,0.0000km/s,9,338.0度
2017年10月05日,9小时34分9秒,N 40.47.622度,E 111.41.734度,1058m,1.1112km/s,9,338.0度
2017年10月05日,9小时34分10秒,N 40.47.622度,E 111.41.734度,1058m,1.4816km/s,9,338.0度
2017年10月05日,9小时34分11秒,N 40.47.623度,E 111.41.734度,1058m,1.8520km/s,10,338.0度
2017年10月05日,9小时34分12秒,N 40.47.623度,E 111.41.734度,1058m,2.4076km/s,10,338.0度
2017年10月05日,9小时34分13秒,N 40.47.623度,E 111.41.734度,1058m,3.1484km/s,10,338.0度
2017年10月05日,9小时34分14秒,N 40.47.624度,E 111.41.734度,1058m,4.2596km/s,10,338.0度
2017年10月05日,9小时34分15秒,N 40.47.624度,E 111.41.733度,1058m,5.7412km/s,10,339.1度
2017年10月05日,9小时34分16秒,N 40.47.626度,E 111.41.733度,1058m,2.7780km/s,10,340.7度
2017年10月05日,9小时34分17秒,N 40.47.626度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分18秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分19秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分20秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,9,340.7度
2017年10月05日,9小时34分21秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,9,340.7度
2017年10月05日,9小时34分22秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,9,340.7度
2017年10月05日,9小时34分23秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,8,340.7度
2017年10月05日,9小时34分24秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分25秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,9,340.7度
2017年10月05日,9小时34分26秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,9,340.7度
2017年10月05日,9小时34分27秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,9,340.7度
2017年10月05日,9小时34分28秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分29秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分30秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分31秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分32秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分33秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分34秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分35秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分36秒,N 40.47.627度,E 111.41.733度,1058m,0.0000km/s,10,340.7度
2017年10月05日,9小时34分37秒,N 40.47.627度,E 111.41.733度,1058m,0.7408km/s,10,340.7度
2017年10月05日,9小时34分38秒,N 40.47.627度,E 111.41.733度,1058m,0.7408km/s,10,340.7度
2017年10月05日,9小时34分39秒,N 40.47.627度,E 111.41.733度,1058m,0.7408km/s,10,340.7度
