日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时36分51秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分52秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分53秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分54秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分55秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分56秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分57秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分58秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时36分59秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时37分0秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时37分1秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时37分2秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时37分3秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时37分4秒,N 40.47.719度,E 111.41.695度,1057m,0.0000km/s,10,347.2度
2017年10月05日,9小时37分5秒,N 40.47.722度,E 111.41.691度,1053m,6.4820km/s,9,343.1度
2017年10月05日,9小时37分6秒,N 40.47.724度,E 111.41.690度,1053m,14.4456km/s,10,342.6度
2017年10月05日,9小时37分7秒,N 40.47.726度,E 111.41.688度,1054m,20.3720km/s,10,339.3度
2017年10月05日,9小时37分8秒,N 40.47.730度,E 111.41.687度,1054m,24.0760km/s,10,340.1度
2017年10月05日,9小时37分9秒,N 40.47.733度,E 111.41.685度,1054m,27.4096km/s,10,339.4度
2017年10月05日,9小时37分10秒,N 40.47.737度,E 111.41.682度,1054m,29.4468km/s,10,338.5度
2017年10月05日,9小时37分11秒,N 40.47.742度,E 111.41.680度,1054m,29.6320km/s,10,337.7度
2017年10月05日,9小时37分12秒,N 40.47.746度,E 111.41.678度,1054m,30.0024km/s,10,338.3度
2017年10月05日,9小时37分13秒,N 40.47.750度,E 111.41.676度,1055m,32.9656km/s,10,338.1度
2017年10月05日,9小时37分14秒,N 40.47.755度,E 111.41.673度,1055m,33.5212km/s,10,338.6度
2017年10月05日,9小时37分15秒,N 40.47.760度,E 111.41.670度,1056m,36.2992km/s,9,338.8度
2017年10月05日,9小时37分16秒,N 40.47.765度,E 111.41.668度,1056m,37.5956km/s,10,338.1度
2017年10月05日,9小时37分17秒,N 40.47.770度,E 111.41.665度,1056m,37.2252km/s,9,338.9度
2017年10月05日,9小时37分18秒,N 40.47.776度,E 111.41.663度,1056m,37.0400km/s,9,340.1度
2017年10月05日,9小时37分19秒,N 40.47.781度,E 111.41.660度,1057m,38.5216km/s,9,341.3度
2017年10月05日,9小时37分20秒,N 40.47.787度,E 111.41.658度,1057m,40.3736km/s,10,342.9度
2017年10月05日,9小时37分21秒,N 40.47.793度,E 111.41.656度,1057m,42.4108km/s,10,344.0度
2017年10月05日,9小时37分22秒,N 40.47.800度,E 111.41.653度,1058m,43.5220km/s,10,343.0度
2017年10月05日,9小时37分23秒,N 40.47.806度,E 111.41.650度,1059m,44.0776km/s,10,343.2度
2017年10月05日,9小时37分24秒,N 40.47.813度,E 111.41.648度,1059m,42.7812km/s,9,343.9度
2017年10月05日,9小时37分25秒,N 40.47.818度,E 111.41.646度,1060m,37.2252km/s,10,345.0度
2017年10月05日,9小时37分26秒,N 40.47.823度,E 111.41.645度,1060m,28.3356km/s,9,346.2度
2017年10月05日,9小时37分27秒,N 40.47.827度,E 111.41.644度,1060m,23.1500km/s,10,346.7度
2017年10月05日,9小时37分28秒,N 40.47.830度,E 111.41.642度,1060m,19.4460km/s,10,345.8度
2017年10月05日,9小时37分29秒,N 40.47.832度,E 111.41.641度,1060m,15.3716km/s,10,344.2度
2017年10月05日,9小时37分30秒,N 40.47.834度,E 111.41.640度,1060m,12.7788km/s,10,342.0度
2017年10月05日,9小时37分31秒,N 40.47.836度,E 111.41.639度,1061m,12.2232km/s,9,339.9度
2017年10月05日,9小时37分32秒,N 40.47.838度,E 111.41.638度,1061m,15.9272km/s,10,337.9度
2017年10月05日,9小时37分33秒,N 40.47.840度,E 111.41.637度,1061m,21.8536km/s,9,337.2度
2017年10月05日,9小时37分34秒,N 40.47.844度,E 111.41.635度,1061m,26.8540km/s,10,337.4度
2017年10月05日,9小时37分35秒,N 40.47.848度,E 111.41.633度,1061m,28.5208km/s,9,338.2度
2017年10月05日,9小时37分36秒,N 40.47.853度,E 111.41.630度,1061m,32.4100km/s,9,339.2度
2017年10月05日,9小时37分37秒,N 40.47.857度,E 111.41.628度,1061m,34.0768km/s,9,339.8度
2017年10月05日,9小时37分38秒,N 40.47.862度,E 111.41.626度,1061m,34.0768km/s,9,340.5度
2017年10月05日,9小时37分39秒,N 40.47.867度,E 111.41.623度,1061m,35.1880km/s,9,341.4度
2017年10月05日,9小时37分40秒,N 40.47.873度,E 111.41.621度,1062m,34.6324km/s,9,342.5度
2017年10月05日,9小时37分41秒,N 40.47.878度,E 111.41.619度,1062m,34.6324km/s,9,343.4度
2017年10月05日,9小时37分42秒,N 40.47.883度,E 111.41.617度,1062m,35.7436km/s,10,343.7度
2017年10月05日,9小时37分43秒,N 40.47.889度,E 111.41.615度,1062m,36.6696km/s,10,343.1度
2017年10月05日,9小时37分44秒,N 40.47.894度,E 111.41.612度,1062m,36.1140km/s,10,341.8度
2017年10月05日,9小时37分45秒,N 40.47.899度,E 111.41.610度,1062m,35.1880km/s,9,340.4度
2017年10月05日,9小时37分46秒,N 40.47.904度,E 111.41.607度,1062m,34.6324km/s,10,339.8度
2017年10月05日,9小时37分47秒,N 40.47.909度,E 111.41.605度,1062m,35.1880km/s,10,339.3度
2017年10月05日,9小时37分48秒,N 40.47.914度,E 111.41.603度,1062m,32.4100km/s,10,339.9度
2017年10月05日,9小时37分49秒,N 40.47.919度,E 111.41.601度,1062m,30.7432km/s,10,340.6度
2017年10月05日,9小时37分50秒,N 40.47.923度,E 111.41.599度,1063m,28.7060km/s,10,340.9度
2017年10月05日,9小时37分51秒,N 40.47.927度,E 111.41.597度,1063m,26.6688km/s,10,340.9度
2017年10月05日,9小时37分52秒,N 40.47.930度,E 111.41.594度,1064m,24.6316km/s,9,340.4度
2017年10月05日,9小时37分53秒,N 40.47.934度,E 111.41.593度,1064m,22.7796km/s,9,339.6度
2017年10月05日,9小时37分54秒,N 40.47.937度,E 111.41.591度,1064m,20.5572km/s,9,339.0度
2017年10月05日,9小时37分55秒,N 40.47.939度,E 111.41.590度,1064m,18.1496km/s,9,338.7度
2017年10月05日,9小时37分56秒,N 40.47.942度,E 111.41.589度,1063m,17.5940km/s,9,338.4度
2017年10月05日,9小时37分57秒,N 40.47.945度,E 111.41.587度,1063m,18.8904km/s,9,344.7度
2017年10月05日,9小时37分58秒,N 40.47.947度,E 111.41.587度,1063m,18.5200km/s,10,344.9度
2017年10月05日,9小时37分59秒,N 40.47.950度,E 111.41.586度,1063m,15.9272km/s,10,347.4度
2017年10月05日,9小时38分0秒,N 40.47.952度,E 111.41.586度,1062m,14.6308km/s,10,354.1度
2017年10月05日,9小时38分1秒,N 40.47.955度,E 111.41.585度,1062m,15.9272km/s,10,353.3度
2017年10月05日,9小时38分2秒,N 40.47.957度,E 111.41.584度,1062m,17.2236km/s,10,352.4度
2017年10月05日,9小时38分3秒,N 40.47.959度,E 111.41.583度,1062m,14.8160km/s,10,351.4度
2017年10月05日,9小时38分4秒,N 40.47.961度,E 111.41.582度,1062m,12.7788km/s,10,350.5度
2017年10月05日,9小时38分5秒,N 40.47.963度,E 111.41.582度,1062m,8.3340km/s,10,349.3度
2017年10月05日,9小时38分6秒,N 40.47.964度,E 111.41.581度,1062m,5.9264km/s,10,345.4度
2017年10月05日,9小时38分7秒,N 40.47.964度,E 111.41.582度,1063m,4.0744km/s,10,345.4度
2017年10月05日,9小时38分8秒,N 40.47.965度,E 111.41.581度,1063m,0.1852km/s,10,345.4度
2017年10月05日,9小时38分9秒,N 40.47.965度,E 111.41.581度,1063m,0.0000km/s,10,345.4度
2017年10月05日,9小时38分10秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,10,345.4度
2017年10月05日,9小时38分11秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,10,345.4度
2017年10月05日,9小时38分12秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,9,345.4度
2017年10月05日,9小时38分13秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,9,345.4度
2017年10月05日,9小时38分14秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,9,345.4度
2017年10月05日,9小时38分15秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,9,345.4度
2017年10月05日,9小时38分16秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,9,345.4度
2017年10月05日,9小时38分17秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,9,345.4度
2017年10月05日,9小时38分18秒,N 40.47.966度,E 111.41.580度,1064m,0.0000km/s,9,345.4度
2017年10月05日,9小时38分19秒,N 40.47.967度,E 111.41.580度,1064m,2.9632km/s,9,345.4度
2017年10月05日,9小时38分20秒,N 40.47.967度,E 111.41.579度,1064m,4.6300km/s,9,345.4度
2017年10月05日,9小时38分21秒,N 40.47.969度,E 111.41.579度,1064m,5.3708km/s,10,337.4度
2017年10月05日,9小时38分22秒,N 40.47.970度,E 111.41.579度,1064m,4.0744km/s,10,340.6度
2017年10月05日,9小时38分23秒,N 40.47.970度,E 111.41.578度,1064m,1.4816km/s,10,341.4度
2017年10月05日,9小时38分24秒,N 40.47.970度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分25秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分26秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分27秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分28秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分29秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分30秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分31秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分32秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分33秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分34秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分35秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分36秒,N 40.47.971度,E 111.41.578度,1064m,0.0000km/s,10,341.4度
2017年10月05日,9小时38分37秒,N 40.47.972度,E 111.41.578度,1064m,2.2224km/s,10,335.6度
2017年10月05日,9小时38分38秒,N 40.47.972度,E 111.41.578度,1064m,2.9632km/s,10,338.4度
2017年10月05日,9小时38分39秒,N 40.47.973度,E 111.41.578度,1064m,2.5928km/s,10,345.1度
2017年10月05日,9小时38分40秒,N 40.47.973度,E 111.41.577度,1064m,2.7780km/s,10,344.4度
2017年10月05日,9小时38分41秒,N 40.47.974度,E 111.41.577度,1064m,3.1484km/s,10,343.8度
2017年10月05日,9小时38分42秒,N 40.47.974度,E 111.41.577度,1064m,2.7780km/s,9,346.0度
2017年10月05日,9小时38分43秒,N 40.47.975度,E 111.41.577度,1064m,1.8520km/s,9,348.3度
2017年10月05日,9小时38分44秒,N 40.47.975度,E 111.41.577度,1064m,1.2964km/s,9,356.5度
2017年10月05日,9小时38分45秒,N 40.47.975度,E 111.41.577度,1064m,0.7408km/s,10,356.5度
2017年10月05日,9小时38分46秒,N 40.47.975度,E 111.41.577度,1063m,0.7408km/s,9,356.5度
2017年10月05日,9小时38分47秒,N 40.47.975度,E 111.41.577度,1063m,0.9260km/s,9,351.0度
2017年10月05日,9小时38分48秒,N 40.47.976度,E 111.41.577度,1063m,1.2964km/s,9,338.0度
2017年10月05日,9小时38分49秒,N 40.47.976度,E 111.41.577度,1063m,1.8520km/s,9,334.6度
2017年10月05日,9小时38分50秒,N 40.47.976度,E 111.41.577度,1063m,1.1112km/s,10,351.2度
2017年10月05日,9小时38分51秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,8,351.2度
2017年10月05日,9小时38分52秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时38分53秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时38分54秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时38分55秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时38分56秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时38分57秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时38分58秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时38分59秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分0秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分1秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分2秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分3秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分4秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分5秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分6秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时39分7秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,9,351.2度
2017年10月05日,9小时39分8秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分9秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分10秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分11秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分12秒,N 40.47.976度,E 111.41.577度,1063m,0.0000km/s,10,351.2度
2017年10月05日,9小时39分13秒,N 40.47.977度,E 111.41.576度,1063m,4.6300km/s,10,323.8度
2017年10月05日,9小时39分14秒,N 40.47.978度,E 111.41.575度,1063m,11.1120km/s,10,324.5度
2017年10月05日,9小时39分15秒,N 40.47.981度,E 111.41.574度,1063m,14.8160km/s,9,325.9度
2017年10月05日,9小时39分16秒,N 40.47.983度,E 111.41.573度,1063m,17.0384km/s,10,326.8度
2017年10月05日,9小时39分17秒,N 40.47.986度,E 111.41.572度,1063m,21.8536km/s,10,328.2度
2017年10月05日,9小时39分18秒,N 40.47.990度,E 111.41.570度,1063m,22.7796km/s,10,329.7度
2017年10月05日,9小时39分19秒,N 40.47.993度,E 111.41.569度,1063m,20.5572km/s,10,331.0度
2017年10月05日,9小时39分20秒,N 40.47.996度,E 111.41.567度,1063m,19.6312km/s,10,332.2度
2017年10月05日,9小时39分21秒,N 40.47.998度,E 111.41.566度,1063m,16.4828km/s,10,333.4度
2017年10月05日,9小时39分22秒,N 40.48.000度,E 111.41.565度,1064m,12.7788km/s,10,334.3度
2017年10月05日,9小时39分23秒,N 40.48.002度,E 111.41.564度,1064m,14.4456km/s,10,335.2度
2017年10月05日,9小时39分24秒,N 40.48.005度,E 111.41.562度,1065m,16.8532km/s,10,336.0度
2017年10月05日,9小时39分25秒,N 40.48.007度,E 111.41.560度,1066m,18.3348km/s,10,336.9度
2017年10月05日,9小时39分26秒,N 40.48.010度,E 111.41.559度,1066m,19.0756km/s,10,337.6度
2017年10月05日,9小时39分27秒,N 40.48.013度,E 111.41.557度,1067m,22.5944km/s,10,339.7度
2017年10月05日,9小时39分28秒,N 40.48.016度,E 111.41.555度,1067m,25.3724km/s,10,340.9度
2017年10月05日,9小时39分29秒,N 40.48.020度,E 111.41.554度,1068m,26.8540km/s,10,341.7度
2017年10月05日,9小时39分30秒,N 40.48.024度,E 111.41.552度,1069m,27.0392km/s,10,342.2度
2017年10月05日,9小时39分31秒,N 40.48.028度,E 111.41.550度,1069m,26.1132km/s,10,342.3度
2017年10月05日,9小时39分31秒,N 40.48.028度,E 111.41.550度,1069m,26.1132km/s,10,342.3度
2017年10月05日,9小时39分32秒,N 40.48.031度,E 111.41.549度,1069m,22.9648km/s,10,341.9度
2017年10月05日,9小时39分33秒,N 40.48.034度,E 111.41.547度,1069m,17.5940km/s,10,341.9度
2017年10月05日,9小时39分34秒,N 40.48.037度,E 111.41.546度,1069m,14.4456km/s,10,341.7度
2017年10月05日,9小时39分35秒,N 40.48.039度,E 111.41.545度,1068m,16.1124km/s,9,342.2度
2017年10月05日,9小时39分36秒,N 40.48.042度,E 111.41.544度,1069m,19.4460km/s,10,342.2度
2017年10月05日,9小时39分37秒,N 40.48.045度,E 111.41.543度,1069m,20.1868km/s,9,341.7度
2017年10月05日,9小时39分38秒,N 40.48.047度,E 111.41.541度,1068m,20.7424km/s,9,340.9度
2017年10月05日,9小时39分39秒,N 40.48.051度,E 111.41.540度,1068m,22.4092km/s,9,339.6度
2017年10月05日,9小时39分40秒,N 40.48.054度,E 111.41.538度,1067m,26.8540km/s,9,338.2度
2017年10月05日,9小时39分41秒,N 40.48.058度,E 111.41.535度,1067m,31.1136km/s,8,337.5度
2017年10月05日,9小时39分42秒,N 40.48.063度,E 111.41.533度,1067m,32.2248km/s,9,338.0度
2017年10月05日,9小时39分44秒,N 40.48.072度,E 111.41.529度,1067m,28.5208km/s,9,339.2度
2017年10月05日,9小时39分45秒,N 40.48.076度,E 111.41.527度,1067m,29.8172km/s,9,341.1度
2017年10月05日,9小时39分46秒,N 40.48.081度,E 111.41.526度,1068m,31.6692km/s,9,343.0度
2017年10月05日,9小时39分46秒,N 40.48.081度,E 111.41.526度,1068m,31.6692km/s,9,343.0度
2017年10月05日,9小时39分48秒,N 40.48.092度,E 111.41.523度,1068m,36.8548km/s,8,345.9度
2017年10月05日,9小时39分48秒,N 40.48.092度,E 111.41.523度,1069m,36.8548km/s,8,345.9度
2017年10月05日,9小时39分50秒,N 40.48.103度,E 111.41.519度,1069m,37.4104km/s,8,346.0度
2017年10月05日,9小时39分50秒,N 40.48.103度,E 111.41.519度,1070m,37.4104km/s,9,346.0度
2017年10月05日,9小时39分51秒,N 40.48.108度,E 111.41.516度,1070m,37.7808km/s,9,345.7度
2017年10月05日,9小时39分52秒,N 40.48.113度,E 111.41.513度,1070m,39.4476km/s,9,345.4度
2017年10月05日,9小时39分53秒,N 40.48.119度,E 111.41.510度,1070m,39.6328km/s,9,344.6度
2017年10月05日,9小时39分55秒,N 40.48.131度,E 111.41.505度,1070m,40.1884km/s,9,342.0度
2017年10月05日,9小时39分55秒,N 40.48.131度,E 111.41.505度,1069m,40.1884km/s,9,342.0度
2017年10月05日,9小时39分56秒,N 40.48.137度,E 111.41.502度,1069m,41.8552km/s,9,341.1度
2017年10月05日,9小时39分57秒,N 40.48.142度,E 111.41.499度,1070m,40.0032km/s,10,340.5度
2017年10月05日,9小时39分58秒,N 40.48.148度,E 111.41.496度,1070m,37.0400km/s,10,340.5度
2017年10月05日,9小时39分59秒,N 40.48.153度,E 111.41.494度,1070m,35.1880km/s,10,341.6度
2017年10月05日,9小时40分0秒,N 40.48.158度,E 111.41.492度,1070m,34.6324km/s,10,343.0度
2017年10月05日,9小时40分2秒,N 40.48.168度,E 111.41.488度,1070m,34.4472km/s,10,343.7度
2017年10月05日,9小时40分2秒,N 40.48.168度,E 111.41.488度,1069m,34.4472km/s,10,343.7度
2017年10月05日,9小时40分4秒,N 40.48.178度,E 111.41.483度,1069m,35.0028km/s,10,341.3度
2017年10月05日,9小时40分4秒,N 40.48.178度,E 111.41.483度,1070m,35.0028km/s,10,341.3度
2017年10月05日,9小时40分5秒,N 40.48.183度,E 111.41.481度,1069m,35.0028km/s,10,340.1度
2017年10月05日,9小时40分6秒,N 40.48.189度,E 111.41.478度,1069m,33.8916km/s,10,340.0度
2017年10月05日,9小时40分7秒,N 40.48.193度,E 111.41.476度,1069m,33.8916km/s,10,340.2度
2017年10月05日,9小时40分8秒,N 40.48.198度,E 111.41.473度,1069m,33.1508km/s,10,340.5度
2017年10月05日,9小时40分9秒,N 40.48.203度,E 111.41.471度,1070m,33.1508km/s,10,341.2度
2017年10月05日,9小时40分10秒,N 40.48.207度,E 111.41.469度,1070m,32.7804km/s,10,341.3度
2017年10月05日,9小时40分11秒,N 40.48.212度,E 111.41.466度,1070m,32.2248km/s,10,341.1度
2017年10月05日,9小时40分12秒,N 40.48.216度,E 111.41.464度,1070m,31.1136km/s,10,341.3度
2017年10月05日,9小时40分13秒,N 40.48.221度,E 111.41.462度,1070m,31.1136km/s,10,342.1度
2017年10月05日,9小时40分14秒,N 40.48.225度,E 111.41.460度,1070m,31.8544km/s,10,342.3度
2017年10月05日,9小时40分16秒,N 40.48.235度,E 111.41.455度,1071m,36.8548km/s,10,340.2度
2017年10月05日,9小时40分16秒,N 40.48.235度,E 111.41.455度,1070m,36.8548km/s,10,340.2度
2017年10月05日,9小时40分17秒,N 40.48.240度,E 111.41.452度,1071m,37.2252km/s,10,339.4度
2017年10月05日,9小时40分19秒,N 40.48.250度,E 111.41.447度,1071m,33.8916km/s,10,339.5度
2017年10月05日,9小时40分19秒,N 40.48.250度,E 111.41.447度,1071m,33.8916km/s,10,339.5度
2017年10月05日,9小时40分20秒,N 40.48.255度,E 111.41.445度,1071m,30.3728km/s,10,340.6度
2017年10月05日,9小时40分22秒,N 40.48.262度,E 111.41.441度,1071m,24.4464km/s,10,340.4度
2017年10月05日,9小时40分22秒,N 40.48.262度,E 111.41.441度,1071m,24.4464km/s,10,340.4度
2017年10月05日,9小时40分23秒,N 40.48.265度,E 111.41.439度,1071m,20.5572km/s,10,339.8度
2017年10月05日,9小时40分24秒,N 40.48.268度,E 111.41.438度,1071m,16.6680km/s,10,339.6度
2017年10月05日,9小时40分25秒,N 40.48.270度,E 111.41.438度,1071m,10.3712km/s,10,340.3度
2017年10月05日,9小时40分26秒,N 40.48.272度,E 111.41.438度,1070m,5.3708km/s,10,340.6度
2017年10月05日,9小时40分28秒,N 40.48.273度,E 111.41.438度,1070m,0.1852km/s,10,340.9度
2017年10月05日,9小时40分29秒,N 40.48.273度,E 111.41.438度,1070m,0.1852km/s,10,340.9度
2017年10月05日,9小时40分29秒,N 40.48.273度,E 111.41.438度,1070m,0.1852km/s,10,340.9度
2017年10月05日,9小时40分30秒,N 40.48.273度,E 111.41.438度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分31秒,N 40.48.273度,E 111.41.437度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分32秒,N 40.48.273度,E 111.41.437度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分34秒,N 40.48.273度,E 111.41.437度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分34秒,N 40.48.273度,E 111.41.437度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分35秒,N 40.48.273度,E 111.41.437度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分36秒,N 40.48.273度,E 111.41.437度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分37秒,N 40.48.273度,E 111.41.436度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分38秒,N 40.48.273度,E 111.41.436度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分39秒,N 40.48.273度,E 111.41.436度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分40秒,N 40.48.273度,E 111.41.436度,1070m,0.0000km/s,10,340.9度
2017年10月05日,9小时40分41秒,N 40.48.273度,E 111.41.436度,1070m,4.8152km/s,10,340.9度
2017年10月05日,9小时40分42秒,N 40.48.273度,E 111.41.435度,1070m,7.0376km/s,10,239.1度
2017年10月05日,9小时40分43秒,N 40.48.272度,E 111.41.434度,1069m,8.5192km/s,10,203.6度
2017年10月05日,9小时40分44秒,N 40.48.270度,E 111.41.433度,1069m,10.1860km/s,10,178.3度
2017年10月05日,9小时40分45秒,N 40.48.268度,E 111.41.434度,1068m,15.7420km/s,10,156.6度
2017年10月05日,9小时40分46秒,N 40.48.266度,E 111.41.436度,1068m,17.7792km/s,10,153.1度
2017年10月05日,9小时40分47秒,N 40.48.263度,E 111.41.437度,1067m,19.4460km/s,10,155.3度
2017年10月05日,9小时40分48秒,N 40.48.260度,E 111.41.439度,1066m,21.1128km/s,10,156.6度
2017年10月05日,9小时40分49秒,N 40.48.257度,E 111.41.440度,1065m,22.4092km/s,10,158.3度
2017年10月05日,9小时40分50秒,N 40.48.254度,E 111.41.442度,1065m,24.0760km/s,9,160.0度
2017年10月05日,9小时40分51秒,N 40.48.250度,E 111.41.444度,1064m,24.8168km/s,9,160.3度
2017年10月05日,9小时40分52秒,N 40.48.247度,E 111.41.445度,1064m,25.3724km/s,9,161.5度
2017年10月05日,9小时40分53秒,N 40.48.243度,E 111.41.447度,1063m,25.9280km/s,10,162.6度
2017年10月05日,9小时40分54秒,N 40.48.240度,E 111.41.448度,1062m,26.2984km/s,9,163.2度
2017年10月05日,9小时40分55秒,N 40.48.236度,E 111.41.450度,1062m,26.2984km/s,9,163.4度
2017年10月05日,9小时40分56秒,N 40.48.232度,E 111.41.451度,1061m,24.8168km/s,9,163.6度
2017年10月05日,9小时40分57秒,N 40.48.229度,E 111.41.452度,1060m,22.9648km/s,10,164.2度
2017年10月05日,9小时40分58秒,N 40.48.226度,E 111.41.453度,1060m,20.9276km/s,10,164.5度
2017年10月05日,9小时40分59秒,N 40.48.223度,E 111.41.454度,1059m,16.2976km/s,10,165.1度
2017年10月05日,9小时41分0秒,N 40.48.220度,E 111.41.454度,1058m,11.8528km/s,10,166.8度
2017年10月05日,9小时41分1秒,N 40.48.219度,E 111.41.454度,1058m,8.3340km/s,10,175.7度
2017年10月05日,9小时41分2秒,N 40.48.218度,E 111.41.454度,1058m,6.6672km/s,10,186.3度
2017年10月05日,9小时41分3秒,N 40.48.217度,E 111.41.454度,1057m,5.7412km/s,10,201.9度
2017年10月05日,9小时41分4秒,N 40.48.216度,E 111.41.453度,1057m,6.2968km/s,10,220.2度
2017年10月05日,9小时41分5秒,N 40.48.215度,E 111.41.452度,1056m,5.5560km/s,10,219.9度
2017年10月05日,9小时41分6秒,N 40.48.214度,E 111.41.451度,1056m,6.4820km/s,10,221.4度
2017年10月05日,9小时41分7秒,N 40.48.214度,E 111.41.450度,1055m,7.5932km/s,10,224.2度
